Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Story Points
Task,CL-006 Design data schema v1,"Define relational schema for users, sessions, waitlist, subscriptions, and webhook events.

Acceptance criteria:
- Schema document exists
- Tables and key indexes are defined
- Migration approach is documented",Highest,"backend data architecture",,Data Persistence Hardening,0.5
Task,CL-007 Implement data access layer,"Replace direct JSON file access with repository/data-access layer backed by database.

Acceptance criteria:
- Critical endpoints use repository layer
- Migrated entities no longer rely on JSON writes
- Integration smoke tests pass",Highest,"backend data",,Data Persistence Hardening,2
Task,CL-008 Build JSON-to-DB migration script,"Create idempotent migration script for beta users, sessions, waitlist, and subscriptions.

Acceptance criteria:
- Script is idempotent
- Migration report shows counts and failures
- Dry-run mode is available",Highest,"backend data migration",,Data Persistence Hardening,1
Task,CL-009 Document rollback procedure,"Write and validate rollback plan for failed data migration in staging.

Acceptance criteria:
- Rollback document exists
- Staging rollback rehearsal completed
- Backups are required before production migration",Highest,"devops data runbook",,Data Persistence Hardening,0.5
Task,CL-010 Add webhook idempotency,"Store and deduplicate Lemon webhook event IDs to prevent double-processing.

Acceptance criteria:
- Duplicate events do not mutate state twice
- Event processing states are tracked as processed, duplicate, or failed
- Automated test covers replay",Highest,"backend payments security",,Payments and Webhooks at Scale,1
Task,CL-011 Create subscription reconciliation job,"Implement periodic reconciliation between Lemon subscription state and local records.

Acceptance criteria:
- Manual or scheduled reconcile command exists
- Mismatches are reported
- Mismatches can be corrected safely",High,"backend payments ops",,Payments and Webhooks at Scale,1
Task,CL-012 Harden payment-related endpoints,"Apply strict email validation, endpoint-specific rate limits, and safe error responses for checkout and portal paths.

Acceptance criteria:
- Rate limits are enforced on checkout and portal endpoints
- Invalid emails are rejected consistently
- Responses do not leak sensitive information",Highest,"backend payments security",,Payments and Webhooks at Scale,0.5
Task,CL-013 Add critical API integration tests,"Create integration tests for login, waitlist, checkout creation, subscription status, and webhook flows.

Acceptance criteria:
- Integration suite runs in CI
- Success and failure paths are covered
- Security-sensitive behaviors are verified",Highest,"qa backend testing",,Testing Critical User Flows,1.5
Task,CL-014 Add E2E paid-user flow,"Automate end-to-end scenario from landing to app access for paying users using staged webhook/payment mocks.

Acceptance criteria:
- E2E test validates onboarding to paid access
- Test is deterministic in CI or pre-release environment",High,"qa e2e payments",,Testing Critical User Flows,1
Task,CL-015 Add E2E beta-tester flow,"Automate end-to-end scenario for beta login, core app usage, session persistence, and logout.

Acceptance criteria:
- E2E test validates protected routes, session continuity, and logout behavior
- Test runs in CI",High,"qa e2e auth",,Testing Critical User Flows,1
Task,CL-016 Implement structured JSON logging,"Adopt structured logs with fields such as level, message, requestId, endpoint, and latency.

Acceptance criteria:
- Logs are emitted as JSON
- Sensitive data is redacted
- Request-linked debugging is possible in runtime logs",High,"observability backend",,Observability and Operations,0.5
Task,CL-017 Add minimal alerting and SLO signals,"Set alerts for 5xx rate, webhook failures, and high latency p95 with actionable thresholds.

Acceptance criteria:
- Alert thresholds are defined and deployed
- Alert simulation confirms delivery
- Runbook references alert handling",High,"observability ops alerts",,Observability and Operations,1
Task,CL-018 Write incident runbook v1,"Document response procedures for login outages, webhook failures, and payment access incidents.

Acceptance criteria:
- Runbook exists in repo
- Includes detection, mitigation, communication, and recovery steps
- On-call checklist is included",High,"ops runbook sre",,Observability and Operations,0.5
Task,CL-019 Version public API under /v1,"Introduce API version prefix and migrate current routes to `/v1` while preserving behavior.

Acceptance criteria:
- Public routes are available under `/v1`
- Docs are updated
- Compatibility checks confirm no regressions",High,"backend api versioning",,SaaS Readiness and Governance,0.5
Task,CL-020 Implement basic RBAC roles,"Add base roles `admin`, `support`, and `user` and restrict administrative endpoints by role.

Acceptance criteria:
- Role model is persisted and enforced
- Protected endpoints require expected role
- Authorization tests pass",High,"backend auth rbac",,SaaS Readiness and Governance,1
Task,CL-021 Define API compatibility policy,"Create policy for backward compatibility, deprecation windows, and breaking-change process.

Acceptance criteria:
- Policy document is in repo
- Pull request template references the policy
- Breaking-change checklist is enforceable",Medium,"api governance docs",,SaaS Readiness and Governance,0.5
